"place";"inbound";"outbound";"country";"Besch";"lat";"lng";"days"
"Marseille";2007-04-14;2007-04-16;"France";"";"43.296482";"5.36978";3
"Lloret De Mar";2008-07-01;2008-07-08;"Spain";"";"41.7005989";"2.8398194";8
"Barcelona";2008-07-04;2008-07-04;"Spain";"";"41.3850639";"2.1734035";1
"Malia";2009-07-01;2009-07-08;"Greece";"";"35.2831684";"25.4628694";8
"Prag";2010-03-05;2010-03-08;"Czechia";"";"50.0755381";"14.4378005";4
"Gran Canaria";2010-06-10;2010-06-17;"Spain";"";"27.9202202";"-15.5474373";8
"Istanbul";2010-09-09;2010-09-18;"Turkey";"";"41.0082376";"28.9783589";10
"Burgas";2010-09-18;2010-09-21;"Bulgaria";"";"42.5047926";"27.4626361";4
"Sofia";2010-09-21;2010-09-21;"Bulgaria";"";"42.6977082";"23.3218675";1
"Kalabaka";2010-09-22;2010-09-22;"Greece";"";"39.706618";"21.6288728";1
"Athen";2010-09-23;2010-09-28;"Greece";"";"37.9838096";"23.7275388";6